CPV Divisió,Descripció Divisió,CPV Grup,Descripció Grup,CPV Classe,Descripció Classe,CPV Categoria,Descripció Categoria
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03111000-2,Llavors
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03111100-3,Soia
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03111200-4,Cacauets
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03111300-5,Llavors de gira-sol
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03111400-6,Llavors de cotó
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03111500-7,Llavors de sèsam
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03111600-8,Llavors de mostassa
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03111700-9,Llavors d'hortalisses
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03111800-0,Llavors de fruits
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03111900-1,Llavors de flors
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03112000-9,Tabac no manufacturat
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03113000-6,Plantes utilitzades per a la fabricació de sucre
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03113100-7,Remolatxa sucrera
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03113200-8,Canya de sucre
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03114000-3,Palla i plantes farratgeres
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03114100-4,Palla
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03114200-5,Plantes farratgeres
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03115000-0,Matèries primeres vegetals
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03115100-1,Matèries primeres vegetals utilitzades en la fabricació de tèxtils
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03115110-4,Cotó
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03115120-7,Jute
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03115130-0,Lli
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03116000-7,"Cautxú i làtex naturals, i productes afins"
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03116100-8,Cautxú natural
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03116200-9,Làtex natural
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03116300-0,Productes de làtex
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03117000-4,Plantes utilitzades per a usos específics
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03117100-5,"Plantes utilitzades en perfumeria o en farmàcia, o en l'elaboració d'insecticides o en usos similars"
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03117110-8,Plantes utilitzades en perfumeria
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03117120-1,Plantes utilitzades en farmàcia
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03117130-4,Plantes utilitzades en l'elaboració d'insecticides
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03117140-7,Plantes utilitzades en l'elaboració de fungicides o en usos similars
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03110000-5,Cultius i productes comercials de jardineria i horticultura,03117200-6,Llavors de plantes utilitzades per a usos específics
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03120000-8,Productes d'horticultura i de vivers,03121000-5,Productes d'horticultura
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03120000-8,Productes d'horticultura i de vivers,03121100-6,"Plantes vives, bulbs, arrels, esqueixos i empelts"
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03120000-8,Productes d'horticultura i de vivers,03121200-7,Flors tallades
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03120000-8,Productes d'horticultura i de vivers,03121210-0,Arranjaments florals
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03130000-1,Cultius de plantes per a begudes i espècies,03131000-8,Cultius de plantes per a begudes
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03130000-1,Cultius de plantes per a begudes i espècies,03131100-9,Grans de cafè
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03130000-1,Cultius de plantes per a begudes i espècies,03131200-0,Plantes de te
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03130000-1,Cultius de plantes per a begudes i espècies,03131300-1,Mate
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03130000-1,Cultius de plantes per a begudes i espècies,03131400-2,Grans de cacau
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03130000-1,Cultius de plantes per a begudes i espècies,03132000-5,Espècies no processades
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03140000-4,Productes d'origen animal i productes afins,03141000-1,Semen de bou
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03140000-4,Productes d'origen animal i productes afins,03142000-8,Productes d'origen animal
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03140000-4,Productes d'origen animal i productes afins,03142100-9,Mel natural
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03140000-4,Productes d'origen animal i productes afins,03142200-0,Cargols
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03140000-4,Productes d'origen animal i productes afins,03142300-1,Productes comestibles d'origen animal
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03140000-4,Productes d'origen animal i productes afins,03142400-2,Ceres
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03140000-4,Productes d'origen animal i productes afins,03142500-3,Ous
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03140000-4,Productes d'origen animal i productes afins,03143000-5,Productes de cultiu mixt
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03100000-2,Productes de l'agricultura i l'horticultura,03140000-4,Productes d'origen animal i productes afins,03144000-2,Productes per a l'agricultura
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03210000-6,Cereals i patates,03211000-3,Cereals
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03210000-6,Cereals i patates,03211100-4,Blat
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03210000-6,Cereals i patates,03211110-7,Blat dur
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03210000-6,Cereals i patates,03211120-0,Blat tou
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03210000-6,Cereals i patates,03211200-5,Blat de moro
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03210000-6,Cereals i patates,03211300-6,Arròs
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03210000-6,Cereals i patates,03211400-7,Ordi
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03210000-6,Cereals i patates,03211500-8,Sègol
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03210000-6,Cereals i patates,03211600-9,Civada
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03210000-6,Cereals i patates,03211700-0,Malta
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03210000-6,Cereals i patates,03211900-2,Productes de grans
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03210000-6,Cereals i patates,03212000-0,Patates i llegums secs
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03210000-6,Cereals i patates,03212100-1,Patates
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03210000-6,Cereals i patates,03212200-2,Llegums i hortalisses lleguminoses secs
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03210000-6,Cereals i patates,03212210-5,Hortalisses lleguminoses seques
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03210000-6,Cereals i patates,03212211-2,Llenties
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03210000-6,Cereals i patates,03212212-9,Cigrons
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03210000-6,Cereals i patates,03212213-6,Pèsols secs
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03210000-6,Cereals i patates,03212220-8,Llegums
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03221000-6,Hortalisses
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03221100-7,Hortalisses d'arrel i tubercles
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03221110-0,Hortalisses d'arrel
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03221111-7,Remolatxes
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03221112-4,Pastanagues
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03221113-1,Cebes
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03221114-8,Naps
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03221120-3,Hortalisses de tubercle
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03221200-8,Fruits hortícoles
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03221210-1,Mongetes
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03221211-8,Faves
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03221212-5,Mongetes tendres
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03221213-2,Mongetes vermelles
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03221220-4,Pèsols
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03221221-1,Pèsols d'horta
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03221222-8,Estirabecs
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03221230-7,Pebrots
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03221240-0,Tomàquets
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03221250-3,Carbassons
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03221260-6,Bolets
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03221270-9,Cogombres
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03221300-9,Hortalisses de fulla
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03221310-2,Enciams
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03221320-5,Fulles per a amanida
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03221330-8,Carxofes
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03221340-1,Espinacs
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03221400-0,Cols
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03221410-3,Cols de cabdell
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03221420-6,Coliflors
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03221430-9,Bròquils
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03221440-2,Cols de Brussel·les
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03222000-3,Fruites i fruits de closca
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03222100-4,Fruites i fruits de closca tropicals
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03222110-7,Fruites tropicals
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03222111-4,Plàtans
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03222112-1,Pinyes
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03222113-8,Mangos
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03222114-5,Dàtils
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03222115-2,Panses
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03222116-9,Figues
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03222117-6,Alvocats
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03222118-3,Kiwis
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03222120-0,Cocos
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03222200-5,Cítrics
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03222210-8,Llimones
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03222220-1,Taronges
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03222230-4,Pomelo
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03222240-7,Mandarines
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03222250-0,Llimes
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03222300-6,Fruites no tropicals
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03222310-9,Baies
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03222311-6,Panses de Corint
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03222312-3,Groselles silvestres
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03222313-0,Maduixes
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03222314-7,Gerds
03000000-1,"Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",03200000-3,"Cereals, patates, hortalisses, fruites i fruites de closca",03220000-9,"Hortalisses, fruites i fruits de closca",03222315-4,Nabius
